"time" "f1" "f2" "vowel" "gender"
"1" 0.025 1116.955 2243.6 "e" "female"
"2" 0.026 1126.797 2242.097 "e" "female"
"3" 0.027 1132.427 2242.281 "e" "female"
"4" 0.028 1134.462 2243.333 "e" "female"
"5" 0.029 1131.449 2241.796 "e" "female"
"6" 0.03 1123.526 2238.068 "e" "female"
"7" 0.031 1121.035 2244.015 "e" "female"
"8" 0.032 1133.337 2264.363 "e" "female"
"9" 0.033 1156.016 2290.131 "e" "female"
"10" 0.034 1176.994 2310.067 "e" "female"
"11" 0.035 1194.325 2320.537 "e" "female"
"12" 0.036 1210.053 2321.84 "e" "female"
"13" 0.037 1225.492 2315.011 "e" "female"
"14" 0.038 1240.709 2301.157 "e" "female"
"15" 0.039 1254.372 2281.333 "e" "female"
"16" 0.04 1263.265 2256.433 "e" "female"
"17" 0.041 1261.682 2227.545 "e" "female"
"18" 0.042 1242.309 2197.442 "e" "female"
"19" 0.043 1204.157 2172.208 "e" "female"
"20" 0.044 1169.082 2159.796 "e" "female"
"21" 0.045 1170.534 2166.957 "e" "female"
"22" 0.046 1204.8 2198.106 "e" "female"
"23" 0.047 1239.56 2251.315 "e" "female"
"24" 0.048 1259.205 2314.561 "e" "female"
"25" 0.049 1267.597 2373.487 "e" "female"
"26" 0.05 1271.084 2419.773 "e" "female"
"27" 0.051 1272.718 2451.617 "e" "female"
"28" 0.052 1273.005 2470.87 "e" "female"
"29" 0.053 1271.503 2480.289 "e" "female"
"30" 0.054 1267.888 2482.002 "e" "female"
"31" 0.055 1262.295 2476.834 "e" "female"
"32" 0.056 1255.166 2464.168 "e" "female"
"33" 0.057 1246.903 2442.04 "e" "female"
"34" 0.058 1237.382 2406.572 "e" "female"
"35" 0.059 1224.954 2349.605 "e" "female"
"36" 0.06 1202.759 2255.14 "e" "female"
"37" 0.061 1135.919 2103.636 "e" "female"
"38" 0.062 852.192 1947.431 "e" "female"
"39" 0.063 704.515 1894.53 "e" "female"
"40" 0.064 667.48 1889.838 "e" "female"
"41" 0.065 644.236 1901.643 "e" "female"
"42" 0.066 626.28 1923.106 "e" "female"
"43" 0.067 613.385 1955.158 "e" "female"
"44" 0.068 610.32 2006.266 "e" "female"
"45" 0.069 738.742 2087.617 "e" "female"
"46" 0.07 1077.302 2167.388 "e" "female"
"47" 0.071 1150.032 2206.992 "e" "female"
"48" 0.072 1166.319 2218.746 "e" "female"
"49" 0.073 1166.038 2218.665 "e" "female"
"50" 0.074 1161.302 2215.666 "e" "female"
"51" 0.075 1157.537 2214.864 "e" "female"
"52" 0.076 1157.15 2219.488 "e" "female"
