"time" "f1" "f2" "vowel" "gender"
"1" 0.025 268.677 1227.49 "e" "male"
"2" 0.026 268.776 1215.474 "e" "male"
"3" 0.027 269.755 1198.202 "e" "male"
"4" 0.028 271.51 1173.419 "e" "male"
"5" 0.029 273.66 1140.969 "e" "male"
"6" 0.03 275.545 1106.38 "e" "male"
"7" 0.031 276.434 1081.774 "e" "male"
"8" 0.032 275.896 1078.985 "e" "male"
"9" 0.033 274.087 1101.191 "e" "male"
"10" 0.034 271.704 1143.756 "e" "male"
"11" 0.035 269.634 1201.45 "e" "male"
"12" 0.036 268.579 1271.45 "e" "male"
"13" 0.037 268.854 1350.559 "e" "male"
"14" 0.038 270.343 1432.599 "e" "male"
"15" 0.039 272.54 1509.533 "e" "male"
"16" 0.04 274.689 1574.535 "e" "male"
"17" 0.041 276.068 1623.552 "e" "male"
"18" 0.042 276.293 1654.941 "e" "male"
"19" 0.043 275.462 1668.63 "e" "male"
"20" 0.044 274.052 1665.323 "e" "male"
"21" 0.045 272.704 1646.292 "e" "male"
"22" 0.046 272.031 1614.067 "e" "male"
"23" 0.047 272.471 1572.656 "e" "male"
"24" 0.048 274.148 1520.962 "e" "male"
"25" 0.049 276.708 1394.402 "e" "male"
"26" 0.05 279.31 2089.964 "e" "male"
"27" 0.051 280.989 2082.876 "e" "male"
"28" 0.052 281.199 2077.102 "e" "male"
"29" 0.053 280.026 2073.862 "e" "male"
"30" 0.054 277.987 2073.293 "e" "male"
"31" 0.055 275.735 2075.102 "e" "male"
"32" 0.056 273.873 1636.342 "e" "male"
"33" 0.057 272.879 1709.653 "e" "male"
"34" 0.058 273.047 1682.684 "e" "male"
"35" 0.059 274.393 1656.692 "e" "male"
"36" 0.06 276.542 1643.196 "e" "male"
"37" 0.061 278.773 1641.649 "e" "male"
"38" 0.062 280.313 1644.043 "e" "male"
"39" 0.063 280.715 1640.118 "e" "male"
"40" 0.064 279.99 1624.072 "e" "male"
"41" 0.065 278.461 1601.151 "e" "male"
"42" 0.066 276.571 1583.961 "e" "male"
"43" 0.067 274.817 1576.183 "e" "male"
"44" 0.068 273.724 1575.544 "e" "male"
"45" 0.069 273.736 1584.495 "e" "male"
"46" 0.07 274.938 1606.691 "e" "male"
"47" 0.071 276.831 1641.316 "e" "male"
"48" 0.072 278.51 1683.239 "e" "male"
"49" 0.073 279.215 1725.783 "e" "male"
"50" 0.074 278.725 1763.457 "e" "male"
"51" 0.075 277.293 1793.182 "e" "male"
"52" 0.076 275.364 1813.072 "e" "male"
"53" 0.077 273.392 1820.982 "e" "male"
"54" 0.078 271.81 1815.076 "e" "male"
"55" 0.079 271.016 1797.166 "e" "male"
"56" 0.08 271.283 1775.61 "e" "male"
"57" 0.081 272.531 1761.042 "e" "male"
"58" 0.082 274.186 1757.904 "e" "male"
"59" 0.083 275.433 1762.298 "e" "male"
"60" 0.084 275.76 1766.453 "e" "male"
